CASENO,WORD1,WORD2,WORD3,WORD4,WORD5,WORD6,WORD7,WORD8,WORD9,WORD10,WORD11,WORD12,WORD13,WORD14,WORD15,WORD16,WORD17,WORD18,WORD19,WORD20,WORD21,WORD22,WORD23,WORD24,WORD25,WORD26,WORD27,WORD28,WORD29,WORD30,WORD31,WORD32,WORD33,WORD34,WORD35
45,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,1,1,1,2,0,3,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,0,1,1,4,2,2,2,1,1,1,3,0,0,0,3,1,0,0,0,1,1,0,3,0,1,0,0,0,0,0,1,0,2,0,0
48,1,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
49,0,2,2,2,2,1,0,5,2,1,0,0,1,0,2,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
50,1,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,0,2,2,2,2,1,0,5,2,1,0,0,1,0,2,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
52,1,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,0,1,1,1,1,0,0,0,0,6,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,2,0,1,0,2,1,1,2,1,2,0,1,0,0,1,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
55,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,1,0,2,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
57,2,0,2,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
58,1,2,0,3,0,0,1,0,0,1,2,3,0,0,0,1,0,1,0,0,2,0,2,0,1,0,0,0,0,0,1,2,0,0,0
59,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
60,3,1,2,1,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
62,1,3,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
